species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,family
Dimorphocoma minutula F.Muell. & Tate,Dimorphocoma minutula,not present,not present,not present,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Diodontium filifolium F.Muell.,Diodontium filifolium,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Dithyrostegia gracilis P.S.Short,Dithyrostegia gracilis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Eclipta alatocarpa Melville,Eclipta alatocarpa,native,native,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Erigeron conyzoides F.Muell.,Erigeron conyzoides,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Eriochlamys cupularis N.G.Walsh,Eriochlamys cupularis,not present,native,not present,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Eriochlamys eremaea N.G.Walsh,Eriochlamys eremaea,native,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Eriochlamys squamata N.G.Walsh,Eriochlamys squamata,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Erodiophyllum acanthocephalum Stapf,Erodiophyllum acanthocephalum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Erymophyllum glossanthus Paul G.Wilson,Erymophyllum glossanthus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Erymophyllum hemisphaericum Paul G.Wilson,Erymophyllum hemisphaericum,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
